"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/P27037,P27037,"Fluid shear stress and atherosclerosis","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05418
https://pharos.nih.gov/idg/targets/P27037,P27037,"Cytokine-cytokine receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04060
https://pharos.nih.gov/idg/targets/P27037,P27037,"TGF-beta signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04350
https://pharos.nih.gov/idg/targets/P27037,P27037,"Signaling pathways regulating pluripotency of stem cells","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04550
https://pharos.nih.gov/idg/targets/P27037,P27037,http://pathwaycommons.org/pc2/Pathway_33e0b1dfe66b796d1f4b662240ec2a54,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P27037,P27037,http://pathwaycommons.org/pc2/Pathway_41362e44a39a2446580e8a2491eb25f7,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P27037,P27037,http://pathwaycommons.org/pc2/Pathway_4a1ae5593b2d2d667eac5ff80cdcfff1,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P27037,P27037,http://pathwaycommons.org/pc2/Pathway_64899ceeb2cb6ca5a90ec5271a196bff,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P27037,P27037,http://pathwaycommons.org/pc2/Pathway_86241533fc884472d7c411dbf8718b42,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P27037,P27037,http://pathwaycommons.org/pc2/Pathway_99cfce97ce2c713b95c32c55455228a6,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P27037,P27037,http://pathwaycommons.org/pc2/Pathway_ab4f47feb23e5475b755a115d3cbe174,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P27037,P27037,http://identifiers.org/panther.pathway/P00052,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P27037,P27037,http://pathwaycommons.org/pc2/Pathway_656db089cbb401ef2d210526f371c321,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P27037,P27037,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/P27037,P27037,"Developmental Biology","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1266738
https://pharos.nih.gov/idg/targets/P27037,P27037,"Regulation of signaling by NODAL","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1433617
https://pharos.nih.gov/idg/targets/P27037,P27037,"Signaling by Activin","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1502540
https://pharos.nih.gov/idg/targets/P27037,P27037,"Signaling by NODAL","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1181150
https://pharos.nih.gov/idg/targets/P27037,P27037,"Signaling by TGF-beta family members","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-9006936
https://pharos.nih.gov/idg/targets/P27037,P27037,"Mesodermal Commitment Pathway","WikiPathways Pathway",http://www.wikipathways.org/instance/WP2857_r87780
https://pharos.nih.gov/idg/targets/Q12852,Q12852,"MAPK signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04010
https://pharos.nih.gov/idg/targets/Q12852,Q12852,http://pathwaycommons.org/pc2/Pathway_33e0b1dfe66b796d1f4b662240ec2a54,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q12852,Q12852,http://pathwaycommons.org/pc2/Pathway_41362e44a39a2446580e8a2491eb25f7,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q12852,Q12852,http://pathwaycommons.org/pc2/Pathway_4a1ae5593b2d2d667eac5ff80cdcfff1,"PathwayCommons: inoh Pathway",null
